id,nombre,codigo,estrato,id_comuna,created,updated
2000,Terrón Colorado,101,2,1000,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2001,Vista Hermosa,102,1,1000,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2002,Sector Patio Bonito,196,1,1000,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2003,Aguacatal,199,1,1000,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2004,Santa Rita,201,6,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2005,Santa Teresita,202,6,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2006,Arboledas,203,6,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2007,Normandía,204,6,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2008,Juanambú,205,5,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2009,Centenario,206,5,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2010,Granada,207,4,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2011,Versalles,208,5,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2012,San Vicente,209,4,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2013,Santa Mónica,210,5,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2014,Prados del Norte,211,5,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2015,La Flora,212,5,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2016,La Campiña,213,4,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2017,La Paz,214,3,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2018,El Bosque,215,5,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2019,Menga,216,6,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2020,Ciudad Los Alamos,217,4,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2021,Chipichape,218,4,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2022,Brisas de los Alamos,219,3,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2023,Urbanización La Merced,293,4,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2024,Vipasa,294,4,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2025,Urbanización La Flora,295,5,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2026,Altos de Menga,296,1,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2027,Sector Altos Normandía,297,1,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2028,Senderos de la Flora,298,5,1001,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2029,El Nacional,301,3,1002,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2030,El Peñón,302,5,1002,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2031,San Antonio,303,3,1002,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2032,San Cayetano,304,3,1002,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2033,Los Libertadores,305,3,1002,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2034,San Juan Bosco,306,3,1002,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2035,Santa Rosa,307,3,1002,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2036,La Merced,308,3,1002,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2037,San Pascual,309,1,1002,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2038,El Calvario,310,3,1002,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2039,San Pedro,311,3,1002,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2040,San Nicolas,312,2,1002,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2041,El Hoyo,313,3,1002,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2042,El Piloto,314,2,1002,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2043,Navarro - La Chanca,315,3,1002,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2044,Jorge Isaacs,401,2,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2045,Santander,402,2,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2046,Porvenir,403,2,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2047,Las Delicias,404,3,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2048,Manzanares,405,3,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2049,Salomia,406,3,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2050,Fátima,407,2,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2051,Sultana - Berlín - San Francisco,408,2,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2052,Popular,410,3,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2053,Ignacio Rengifo,411,3,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2054,Guillermo Valencia,412,2,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2055,La Isla,413,2,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2056,Marco Fidel Suárez,414,2,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2057,Evaristo García,415,2,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2058,La Esmeralda,416,2,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2059,Bolivariano,417,2,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2060,Olaya Herrera,418,2,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2061,Unidad Residencial Bueno Madrid,419,3,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2062,Flora Industrial,420,3,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2063,Calima,421,3,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2064,Industria de Licores,423,NR,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2065,La Alianza,497,3,1003,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2066,El Sena,501,3,1004,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2067,Los Andes,502,3,1004,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2068,Los Guayacanes,503,3,1004,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2069,Chiminangos Segunda Etapa,504,3,1004,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2070,Chiminangos Primera Etapa,505,3,1004,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2071,Metropolitano del Norte,506,3,1004,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2072,Los Parques - Barranquilla,594,3,1004,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2073,Villa del Sol,595,4,1004,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2074,Paseo de Los Almendros,596,3,1004,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2075,Los Andes B - La Riviera,597,3,1004,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2076,Torres de Comfandi,598,3,1004,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2077,Villa del Prado - El Guabito,599,3,1004,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2078,San Luís,601,2,1005,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2079,Jorge Eliecer Gaitán,602,2,1005,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2080,Paso del Comercio,603,2,1005,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2081,Los Alcázares,604,3,1005,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2082,Petecuy Primera Etapa,605,2,1005,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2083,Petecuy Segunda Etapa,606,2,1005,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2084,La Rivera Primera Etapa,607,2,1005,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2085,Los Guaduales,608,3,1005,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2086,Petecuy Tercera Etapa,609,2,1005,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2087,Ciudadela Floralia,610,2,1005,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2088,Fonaviemcali,695,3,1005,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2089,San Luís II,696,2,1005,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2090,Urbanización Calimio,697,2,1005,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2091,Sector Puente del Comercio,698,2,1005,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2092,Alfonso López P. 1a. Etapa,701,3,1006,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2093,Alfonso López P. 2a. Etapa,702,3,1006,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2094,Alfonso López P. 3a. Etapa,703,3,1006,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2095,Puerto Nuevo,704,1,1006,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2096,Puerto Mallarino,705,2,1006,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2097,Urbanización El Angel del Hogar,706,2,1006,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2098,Siete de Agosto,707,3,1006,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2099,Los Pinos,708,2,1006,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2100,San Marino,709,2,1006,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2101,Las Ceibas,710,3,1006,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2102,Base Aérea,711,NR,1006,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2103,Parque de la Caña,797,3,1006,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2104,Fepicol,798,3,1006,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2105,Primitivo Crespo,801,2,1007,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2106,Simón Bolívar,802,3,1007,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2107,Saavedra Galindo,803,2,1007,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2108,Uribe Uribe,804,2,1007,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2109,Santa Mónica Popular,805,3,1007,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2110,La Floresta,806,3,1007,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2111,Benjamín Herrera,807,3,1007,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2112,Municipal,808,3,1007,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2113,Industrial,809,2,1007,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2114,El Troncal,810,3,1007,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2115,Las Américas,811,3,1007,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2116,Atanasio Girardot,812,3,1007,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2117,Santa Fe,813,3,1007,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2118,Chapinero,814,3,1007,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2119,Villa Colombia,815,3,1007,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2120,EL Trébol,816,3,1007,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2121,La Base,817,3,1007,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2122,Urbanización La Nueva Base,818,3,1007,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2123,Alameda,901,3,1008,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2124,Bretaña,902,3,1008,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2125,Junín,903,3,1008,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2126,Guayaquil,904,3,1008,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2127,Aranjuez,905,3,1008,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2128,Manuel María Buenaventura,906,3,1008,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2129,Santa Mónica Belalcázar,907,3,1008,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2130,Belalcázar,908,3,1008,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2131,Sucre,909,1,1008,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2132,Barrio Obrero,910,2,1008,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2133,El Dorado,1001,3,1009,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2134,El Guabal,1002,3,1009,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2135,La Libertad,1003,3,1009,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2136,Santa Elena,1004,3,1009,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2137,Las Acacias,1005,3,1009,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2138,Santo Domingo,1006,3,1009,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2139,Jorge Zawadsky,1007,3,1009,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2140,Olímpico,1008,4,1009,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2141,Cristóbal Colón,1009,3,1009,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2142,La Selva,1010,3,1009,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2143,Barrio Departamental,1011,4,1009,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2144,Pasoancho,1012,4,1009,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2145,Panamericano,1013,3,1009,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2146,Colseguros Andes,1014,4,1009,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2147,San Cristobal,1015,3,1009,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2148,Las Granjas,1016,3,1009,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2149,San Judas Tadeo I Etapa,1017,3,1009,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2150,San Judas Tadeo II Etapa,1018,3,1009,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2151,San Carlos,1101,3,1010,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2152,Maracaibo,1102,3,1010,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2153,La Independencia,1103,3,1010,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2154,La Esperanza,1104,3,1010,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2155,Urbanización Boyacá,1105,3,1010,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2156,El Jardín,1106,3,1010,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2157,La Fortaleza,1107,3,1010,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2158,El Recuerdo,1108,3,1010,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2159,Aguablanca,1109,3,1010,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2160,El Prado,1110,3,1010,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2161,20 de Julio,1111,3,1010,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2162,Prados de Oriente,1112,3,1010,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2163,Los Sauces,1113,3,1010,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2164,Villa del Sur,1114,3,1010,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2165,José Holguín Garcés,1115,3,1010,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2166,León XIII,1116,2,1010,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2167,José María Cordoba,1117,3,1010,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2168,San Pedro Claver,1118,2,1010,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2169,Los Conquistadores,1119,2,1010,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
